world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude,fitness_per_unit_action
simple,fixed_motor_spiking,45,0.05,480,10000,0.9247999787330627,11.0,2.5759999752044678,1.6511999368667603,0.777999997138977,0.04629625,0.4309024309024309,0.04712477864583333,19.62449491133751
simple,fixed_analog_cardinal,45,0.05,480,10000,0.8108999729156494,41.0,96.50559997558594,95.69469451904297,0.5443999767303467,0.742539375,0.2537887300589278,0.742539375,1.0920632631981966
simple,random_cardinal,45,0.05,480,10000,-0.011899999342858791,43.0,83.93789672851562,83.94979858398438,0.513700008392334,1.0,0.2500672916666667,1.0,-0.011899999342858791
simple,direct_sensor_oracle,45,0.05,480,10000,4.682399749755859,42.0,29.675600051879883,24.993200302124023,0.7942000031471252,1.0,1.0,1.0,4.682399749755859
simple,base_adapter,45,0.05,480,10000,2.0453999042510986,40.0,30.275299072265625,28.22989845275879,0.6491000056266785,1.0,0.6392360416666667,1.0,2.0453999042510986
simple,augmented_adapter,45,0.05,480,10000,2.105599880218506,37.0,28.263399124145508,26.157798767089844,0.6574999690055847,1.0,0.654383125,1.0,2.105599880218506
simple,fixed_motor_spiking,46,0.05,480,10000,1.2235000133514404,13.0,5.806299686431885,4.582799911499023,0.7114999890327454,0.056806875,0.3372501127724417,0.05772454427083333,21.195490216622503
simple,fixed_analog_cardinal,46,0.05,480,10000,0.5002999901771545,46.0,97.82929992675781,97.32899475097656,0.5267999768257141,0.7429008333333333,0.25219858864070016,0.7429008333333333,0.6734411481709486
simple,random_cardinal,46,0.05,480,10000,0.46389999985694885,45.0,85.3783950805664,84.91449737548828,0.5338999629020691,1.0,0.25001645833333336,1.0,0.46389999985694885
simple,direct_sensor_oracle,46,0.05,480,10000,5.781399726867676,47.0,26.703998565673828,20.92259979248047,0.8445999622344971,1.0,1.0,1.0,5.781399726867676
simple,base_adapter,46,0.05,480,10000,2.6651999950408936,40.0,27.676698684692383,25.011499404907227,0.6935999989509583,1.0,0.635545625,1.0,2.6651999950408936
simple,augmented_adapter,46,0.05,480,10000,2.433199882507324,42.0,26.234899520874023,23.801698684692383,0.6949999928474426,1.0,0.6450014583333333,1.0,2.433199882507324
simple,fixed_motor_spiking,47,0.05,480,10000,1.743299961090088,17.0,8.025300025939941,6.2820000648498535,0.7155999541282654,0.06413,0.34389781173657674,0.0651254296875,26.768344860912176
simple,fixed_analog_cardinal,47,0.05,480,10000,-0.282399982213974,42.0,96.34549713134766,96.62789916992188,0.5149999856948853,0.7428710416666666,0.2513668113661495,0.7428710416666666,-0.3801467096905489
simple,random_cardinal,47,0.05,480,10000,0.11539999395608902,46.0,84.26329803466797,84.14789581298828,0.5267999768257141,1.0,0.24995333333333333,1.0,0.11539999395608902
simple,direct_sensor_oracle,47,0.05,480,10000,4.638799667358398,42.0,36.77779769897461,32.138999938964844,0.777899980545044,1.0,1.0,1.0,4.638799667358398
simple,base_adapter,47,0.05,480,10000,1.5774999856948853,38.0,29.670198440551758,28.09269905090332,0.6202999949455261,1.0,0.6358429166666667,1.0,1.5774999856948853
simple,augmented_adapter,47,0.05,480,10000,2.1045000553131104,35.0,30.18579864501953,28.081298828125,0.6489999890327454,1.0,0.6508822916666667,1.0,2.1045000553131104
simple,fixed_motor_spiking,43,0.15,480,10000,-0.10399999469518661,19.0,14.05359935760498,14.157599449157715,0.5329999923706055,0.06527544386476827,0.30860584319007284,0.06632041015625,-1.5681446247115183
simple,fixed_analog_cardinal,43,0.15,480,10000,-0.029099998995661736,45.0,95.99369812011719,96.02279663085938,0.5174999833106995,0.734390625,0.25510918207414024,0.734390625,-0.03962468746882728
simple,random_cardinal,43,0.15,480,10000,0.45489999651908875,47.0,85.11909484863281,84.66419982910156,0.5295999646186829,1.0,0.250140625,1.0,0.45489999651908875
simple,direct_sensor_oracle,43,0.15,480,10000,4.860699653625488,52.0,48.20240020751953,43.341697692871094,0.7487999796867371,1.0,1.0,1.0,4.860699653625488
simple,base_adapter,43,0.15,480,10000,2.726300001144409,45.0,45.80649948120117,43.0802001953125,0.6559999585151672,1.0,0.6050664583333333,1.0,2.726300001144409
simple,augmented_adapter,43,0.15,480,10000,2.8587000370025635,41.0,45.32600021362305,42.46730041503906,0.6656000018119812,1.0,0.6142547916666666,1.0,2.8587000370025635
simple,fixed_motor_spiking,44,0.15,480,10000,1.1897000074386597,13.0,5.533400058746338,4.343699932098389,0.7125999927520752,0.05662561721572764,0.32118233125584067,0.05750348307291667,20.68918166104953
simple,fixed_analog_cardinal,44,0.15,480,10000,0.08549999445676804,45.0,95.79989624023438,95.71440124511719,0.5123000144958496,0.7340758333333334,0.25368291877201604,0.7340758333333334,0.11647297264715116
simple,random_cardinal,44,0.15,480,10000,0.2911999821662903,46.0,84.8677978515625,84.57659912109375,0.5264999866485596,1.0,0.249858125,1.0,0.2911999821662903
simple,direct_sensor_oracle,44,0.15,480,10000,4.747900009155273,49.0,43.72279739379883,38.97489929199219,0.761199951171875,1.0,1.0,1.0,4.747900009155273
simple,base_adapter,44,0.15,480,10000,2.042799949645996,39.0,41.49509811401367,39.45229721069336,0.6259999871253967,1.0,0.6058070833333333,1.0,2.042799949645996
simple,augmented_adapter,44,0.15,480,10000,2.2851998805999756,45.0,39.06010055541992,36.774898529052734,0.6462000012397766,1.0,0.6157229166666667,1.0,2.2851998805999756
simple,fixed_motor_spiking,45,0.15,480,10000,0.865399956703186,14.0,4.723700046539307,3.858299970626831,0.6801999807357788,0.05565719928583185,0.3257821331516653,0.05654146484375,15.305580764394467
simple,fixed_analog_cardinal,45,0.15,480,10000,0.46959999203681946,45.0,95.37950134277344,94.90989685058594,0.5309000015258789,0.7341083333333334,0.2547671211106444,0.7341083333333334,0.6396875920268164
simple,random_cardinal,45,0.15,480,10000,-0.011899999342858791,43.0,83.93789672851562,83.94979858398438,0.513700008392334,1.0,0.25025,1.0,-0.011899999342858791
simple,direct_sensor_oracle,45,0.15,480,10000,4.428499698638916,54.0,45.5364990234375,41.10799789428711,0.7372999787330627,1.0,1.0,1.0,4.428499698638916
simple,base_adapter,45,0.15,480,10000,2.2582998275756836,39.0,46.018898010253906,43.760597229003906,0.6304000020027161,1.0,0.60632125,1.0,2.2582998275756836
simple,augmented_adapter,45,0.15,480,10000,2.0734000205993652,56.0,38.57320022583008,36.49979782104492,0.630899965763092,1.0,0.6171670833333334,1.0,2.0734000205993652
simple,fixed_motor_spiking,46,0.15,480,10000,1.0023999214172363,19.0,11.099800109863281,10.097399711608887,0.6308000087738037,0.06480479166666667,0.30716928725049264,0.06589445963541667,15.212203377390939
simple,fixed_analog_cardinal,46,0.15,480,10000,0.6488999724388123,42.0,97.02909851074219,96.38019561767578,0.5375999808311462,0.7343483333333334,0.25230788522249886,0.7343483333333334,0.8836405599143171
simple,random_cardinal,46,0.15,480,10000,0.46389999985694885,45.0,85.3783950805664,84.91449737548828,0.5338999629020691,1.0,0.2500427083333333,1.0,0.46389999985694885
simple,direct_sensor_oracle,46,0.15,480,10000,6.607699871063232,48.0,34.570098876953125,27.962398529052734,0.8447999954223633,1.0,1.0,1.0,6.607699871063232
simple,base_adapter,46,0.15,480,10000,1.7226999998092651,40.0,43.4197998046875,41.69709777832031,0.6129999756813049,1.0,0.6049322916666666,1.0,1.7226999998092651
simple,augmented_adapter,46,0.15,480,10000,2.512500047683716,39.0,43.58250045776367,41.06999969482422,0.6536999940872192,1.0,0.6128439583333334,1.0,2.512500047683716
simple,fixed_motor_spiking,47,0.15,480,10000,0.17159999907016754,11.0,4.365999698638916,4.194399833679199,0.5974000096321106,0.055732465830622385,0.3201427957310805,0.05665374348958333,3.028926042666869
simple,fixed_analog_cardinal,47,0.15,480,10000,-0.5938000082969666,40.0,95.48789978027344,96.08169555664062,0.5001000165939331,0.7342004166666667,0.25191095074517006,0.7342004166666667,-0.8087710042346065
simple,random_cardinal,47,0.15,480,10000,0.11539999395608902,46.0,84.26329803466797,84.14789581298828,0.5267999768257141,1.0,0.24989479166666667,1.0,0.11539999395608902
simple,direct_sensor_oracle,47,0.15,480,10000,5.088399887084961,44.0,43.36399841308594,38.27560043334961,0.7872999906539917,1.0,1.0,1.0,5.088399887084961
simple,base_adapter,47,0.15,480,10000,2.512500047683716,45.0,45.46820068359375,42.9556999206543,0.6513999700546265,1.0,0.6028789583333334,1.0,2.512500047683716
simple,augmented_adapter,47,0.15,480,10000,2.2296998500823975,40.0,39.40659713745117,37.17689895629883,0.6496999859809875,1.0,0.6137754166666667,1.0,2.2296998500823975
moving_toxins,fixed_motor_spiking,43,0.0,480,10000,-10.535900115966797,20.0,30.965499877929688,41.501399993896484,0.10279999673366547,0.07669854166666666,0.3321635298367798,0.07786054036458333,-135.3175827785456
moving_toxins,fixed_analog_cardinal,43,0.0,480,10000,-0.9982999563217163,39.0,93.4959945678711,94.49430084228516,0.4822999835014343,0.7401470833333333,0.25522995710875035,0.7401470833333333,-1.3487859086409735
