seed,strategy,adaptation_samples,source_accuracy,shifted_accuracy,activity,state_contribution,state_specificity,mean_absolute_gate,test_examples_per_second,cumulative_adaptation_seconds,adaptation_trainable_parameters,memory_contribution,association_specificity,active_memory_cells
158,dropout_tcn_static,4096,0.6168678245510745,0.5614267490923364,0.297061169689086,,,0.0,7153.973234111471,0.0,0,,,0
158,dropout_tcn_readout,0,0.6168678245510745,0.5614267490923364,0.297061169689086,,,0.0,10876.899989020952,0.0,16835,,,0
158,dropout_tcn_readout,64,0.6130899813560985,0.5655480325777646,0.297061169689086,,,0.0,10862.26718014773,0.023300322000068263,16835,,,0
158,dropout_tcn_readout,256,0.6088215091747621,0.5713374546168187,0.297061169689086,,,0.0,11376.140079978057,0.08158248700055992,16835,,,0
158,dropout_tcn_readout,1024,0.5965557845157492,0.580119713472672,0.297061169689086,,,0.0,10873.948450651811,0.31538083300074504,16835,,,0
158,dropout_tcn_readout,4096,0.6044549111961535,0.5939063879894024,0.297061169689086,,,0.0,7765.935049847733,1.786044127000423,16835,,,0
158,dropout_tcn_full_finetune,0,0.6168678245510745,0.5614267490923364,0.297061169689086,,,0.0,10882.011425399425,0.0,131971,,,0
158,dropout_tcn_full_finetune,64,0.5928760671180453,0.5680011775095672,0.30297198126330344,,,0.0,10961.280650160326,0.028763440999682643,131971,,,0
158,dropout_tcn_full_finetune,256,0.5866450789912668,0.5789422039054067,0.3041778111987722,,,0.0,10942.628650007777,0.09667930899922794,131971,,,0
158,dropout_tcn_full_finetune,1024,0.5862035129035423,0.5845844372485527,0.2945895080313272,,,0.0,9439.938883958775,0.35960212199825037,131971,,,0
158,dropout_tcn_full_finetune,4096,0.6034245903247963,0.6112255912079285,0.3227952021797299,,,0.0,9066.059320813298,2.0321002589971613,131971,,,0
158,dense_prototype_memory,0,0.6168678245510745,0.5614267490923364,0.6287361753371756,,,0.0,10935.197454405848,0.0,0,0.0,0.0,0
158,dense_prototype_memory,64,0.6168678245510745,0.5385634383279364,0.6287361753371756,,,0.0,10182.963579680134,0.007844507001209422,0,-0.022863310764399958,-0.0009812579727210835,12960
