generation,mean_best_fitness,std_best_fitness,min_best_fitness,max_best_fitness,mean_population_fitness,mean_active_synapses
269,25.5,1.2692955176439846,23.0,27.0,-0.08777999430894852,84.5618881225586
270,25.5,1.2692955176439846,23.0,27.0,-0.08227999461814761,84.5907974243164
271,25.5,1.2692955176439846,23.0,27.0,-0.05401999857276678,84.6504280090332
272,25.5,1.2692955176439846,23.0,27.0,0.03469000477343798,84.66378784179688
273,25.5,1.2692955176439846,23.0,27.0,0.006929998472332955,84.69962692260742
274,25.5,1.2692955176439846,23.0,27.0,-0.08902999982237816,84.70473785400391
275,25.5,1.2692955176439846,23.0,27.0,-0.07345999830868095,84.74813766479492
276,25.5,1.2692955176439846,23.0,27.0,-0.07762999755796045,84.75251770019531
277,25.5,1.2692955176439846,23.0,27.0,-0.06201999969780445,84.74080810546874
278,25.5,1.2692955176439846,23.0,27.0,-0.01059000138193369,84.73889923095703
279,25.5,1.2692955176439846,23.0,27.0,0.007060003280639648,84.75731811523437
280,25.5,1.2692955176439846,23.0,27.0,-0.07841999493539334,84.75770797729493
281,25.5,1.2692955176439846,23.0,27.0,0.06864999663084745,84.76505813598632
282,25.5,1.2692955176439846,23.0,27.0,0.04740999676287174,84.80107803344727
283,25.5,1.2692955176439846,23.0,27.0,0.1495700001716614,84.82120742797852
284,25.5,1.2692955176439846,23.0,27.0,-0.1198499963618815,84.81174850463867
285,25.5,1.2692955176439846,23.0,27.0,0.1794099971652031,84.83899688720703
286,25.5,1.2692955176439846,23.0,27.0,-3.0000880360603333e-05,84.87840728759765
287,25.5,1.2692955176439846,23.0,27.0,-0.09855999704450369,84.88880767822266
288,25.5,1.2692955176439846,23.0,27.0,0.1198899980634451,84.89441680908203
289,25.5,1.2692955176439846,23.0,27.0,-0.010880002379417419,84.89059753417969
290,25.5,1.2692955176439846,23.0,27.0,-0.14915999844670297,84.92666702270508
291,25.5,1.2692955176439846,23.0,27.0,0.04072999563068151,84.94063949584961
292,25.5,1.2692955176439846,23.0,27.0,0.017430001869797707,84.9892478942871
293,25.5,1.2692955176439846,23.0,27.0,-0.18917999789118767,85.00940856933593
294,25.5,1.2692955176439846,23.0,27.0,-0.055389998108148576,85.02456741333008
295,25.5,1.2692955176439846,23.0,27.0,0.10607999674975872,85.02657699584961
296,25.5,1.2692955176439846,23.0,27.0,0.1232099935412407,85.03651733398438
297,25.5,1.2692955176439846,23.0,27.0,0.02392999976873398,85.0606185913086
298,25.5,1.2692955176439846,23.0,27.0,0.1143999945372343,85.05727844238281
299,25.5,1.2692955176439846,23.0,27.0,-0.056669998541474344,85.06324844360351
300,25.5,1.2692955176439846,23.0,27.0,-0.09076999621465802,85.04767761230468
301,25.5,1.2692955176439846,23.0,27.0,0.012669999152421951,85.07202758789063
302,25.5,1.2692955176439846,23.0,27.0,-0.09227000176906586,85.1208381652832
303,25.5,1.2692955176439846,23.0,27.0,-0.1264999955892563,85.12690658569336
304,25.5,1.2692955176439846,23.0,27.0,-0.01798000349663198,85.11122817993164
305,25.5,1.2692955176439846,23.0,27.0,0.09067999795079232,85.13721771240235
306,25.5,1.2692955176439846,23.0,27.0,0.11490999329835176,85.13978729248046
307,25.5,1.2692955176439846,23.0,27.0,-0.10015999684110284,85.15970840454102
308,25.5,1.2692955176439846,23.0,27.0,0.17767999551433605,85.14517822265626
309,25.5,1.2692955176439846,23.0,27.0,-0.1816399946808815,85.15814819335938
310,25.5,1.2692955176439846,23.0,27.0,-0.056859998404979704,85.15134887695312
311,25.5,1.2692955176439846,23.0,27.0,0.07492999657988549,85.17254791259765
312,25.5,1.2692955176439846,23.0,27.0,0.05676999744027853,85.17616806030273
313,25.5,1.2692955176439846,23.0,27.0,-0.14456999599933623,85.19154739379883
314,25.5,1.2692955176439846,23.0,27.0,0.05204000324010849,85.1986083984375
315,25.5,1.2692955176439846,23.0,27.0,0.08186999782919883,85.2149787902832
316,25.5,1.2692955176439846,23.0,27.0,0.21494999481365085,85.19964828491212
317,25.5,1.2692955176439846,23.0,27.0,0.04828999727033079,85.18150787353515
318,25.5,1.2692955176439846,23.0,27.0,0.023120000772178174,85.17698822021484
319,25.5,1.2692955176439846,23.0,27.0,-0.1051599993967102,85.17642822265626
320,25.5,1.2692955176439846,23.0,27.0,0.007250002771615982,85.16353836059571
321,25.5,1.2692955176439846,23.0,27.0,-0.06657999604940415,85.15335540771484
322,25.5,1.2692955176439846,23.0,27.0,0.02428000047802925,85.1585075378418
323,25.5,1.2692955176439846,23.0,27.0,-0.00013000136241316795,85.18734741210938
324,25.5,1.2692955176439846,23.0,27.0,0.009740001708269119,85.1784278869629
325,25.5,1.2692955176439846,23.0,27.0,-0.03634000141173601,85.21172790527343
326,25.5,1.2692955176439846,23.0,27.0,0.040299996919929984,85.21301803588867
327,25.5,1.2692955176439846,23.0,27.0,-0.06527999853715301,85.25427703857422
