world,policy,eval_seed,sensor_noise_std,steps,population_size,mean_fitness,best_fitness,mean_food_hits,mean_toxin_hits,survival_rate,cue_action_coverage,oracle_action_agreement,mean_action_magnitude
moving_toxins,fixed_motor_argmax,45,0.15,480,10000,-5.985099792480469,18.0,26.461999893188477,32.44709777832031,0.21649999916553497,0.06248979166666667,0.2912442365586379,0.0634391015625
moving_toxins,base_adapter,45,0.15,480,10000,3.0999999046325684,37.0,46.360599517822266,43.260597229003906,0.6823999881744385,1.0,0.60650125,1.0
moving_toxins,augmented_adapter,45,0.15,480,10000,2.198699951171875,43.0,39.63789749145508,37.4391975402832,0.6471999883651733,1.0,0.6142229166666666,1.0
moving_toxins,fixed_motor_argmax,46,0.15,480,10000,-5.777400016784668,23.0,31.2958984375,37.073299407958984,0.23809999227523804,0.06512875,0.2937002987671855,0.066126328125
moving_toxins,base_adapter,46,0.15,480,10000,2.101799964904785,36.0,41.7593994140625,39.65760040283203,0.6459000110626221,1.0,0.605199375,1.0
moving_toxins,augmented_adapter,46,0.15,480,10000,3.0618999004364014,39.0,43.3400993347168,40.2781982421875,0.6812999844551086,1.0,0.61685875,1.0
moving_toxins,fixed_motor_argmax,47,0.15,480,10000,-8.028800010681152,17.0,26.068899154663086,34.09769821166992,0.1394999921321869,0.06273209640252009,0.2960074921790418,0.06364955078125
moving_toxins,base_adapter,47,0.15,480,10000,2.6168999671936035,39.0,47.63889694213867,45.02199935913086,0.6517999768257141,1.0,0.6017554166666667,1.0
moving_toxins,augmented_adapter,47,0.15,480,10000,2.3538999557495117,43.0,33.81559753417969,31.461698532104492,0.677299976348877,1.0,0.6124760416666667,1.0
gauntlet,fixed_motor_argmax,43,0.0,480,10000,-0.5626999735832214,6.0,0.555899977684021,1.083299994468689,0.5249999761581421,0.03153014175026786,0.5970335134325283,0.0250779833984375
gauntlet,base_adapter,43,0.0,480,10000,1.080299973487854,21.0,12.73129940032959,11.163999557495117,0.6322000026702881,1.0,0.6642783064101968,1.0
gauntlet,augmented_adapter,43,0.0,480,10000,1.3234000205993652,22.0,11.840399742126465,10.041199684143066,0.6621999740600586,1.0,0.6791782220280302,1.0
gauntlet,fixed_motor_argmax,44,0.0,480,10000,-0.7853999733924866,5.0,0.6589999794960022,1.4108999967575073,0.4429999887943268,0.03621902910282969,0.615846348130505,0.02878462890625
gauntlet,base_adapter,44,0.0,480,10000,1.4249999523162842,20.0,12.997200012207031,11.101999282836914,0.6609999537467957,1.0,0.6657549953745143,1.0
gauntlet,augmented_adapter,44,0.0,480,10000,1.5583999156951904,22.0,13.995999336242676,11.973499298095703,0.668999969959259,1.0,0.6743893993437284,1.0
gauntlet,fixed_motor_argmax,45,0.0,480,10000,-0.44279998540878296,4.0,0.5453999638557434,0.932699978351593,0.5579999685287476,0.03467939692334401,0.6264251994589073,0.0247331787109375
gauntlet,base_adapter,45,0.0,480,10000,0.7003999948501587,18.0,11.663999557495117,10.568399429321289,0.6096999645233154,1.0,0.6707157229824313,1.0
gauntlet,augmented_adapter,45,0.0,480,10000,1.299799919128418,21.0,10.36829948425293,8.686999320983887,0.6663999557495117,1.0,0.6870150965593538,1.0
gauntlet,fixed_motor_argmax,46,0.0,480,10000,-1.3047999143600464,9.0,1.2359999418258667,2.491799831390381,0.34579998254776,0.04063581706716413,0.5272347227345383,0.034246015625
gauntlet,base_adapter,46,0.0,480,10000,1.3733999729156494,22.0,14.420299530029297,12.577199935913086,0.6424999833106995,1.0,0.6571275660204315,1.0
gauntlet,augmented_adapter,46,0.0,480,10000,1.4793999195098877,19.0,10.613699913024902,8.723199844360352,0.6809999942779541,1.0,0.6796616542429899,1.0
gauntlet,fixed_motor_argmax,47,0.0,480,10000,-0.6227999925613403,7.0,0.44189998507499695,1.0343999862670898,0.4723999798297882,0.028473129792117573,0.6126374251701454,0.02094813313802083
gauntlet,base_adapter,47,0.0,480,10000,1.2515000104904175,19.0,10.666099548339844,8.995100021362305,0.6602999567985535,1.0,0.6757194282869001,1.0
gauntlet,augmented_adapter,47,0.0,480,10000,1.2958999872207642,21.0,11.915299415588379,10.189099311828613,0.6523000001907349,1.0,0.6722830248801221,1.0
gauntlet,fixed_motor_argmax,43,0.05,480,10000,-0.46239998936653137,6.0,0.41200000047683716,0.8592000007629395,0.5539999604225159,0.017706042668889425,0.5614856024799331,0.0179634228515625
gauntlet,base_adapter,43,0.05,480,10000,1.1639999151229858,23.0,14.039199829101562,12.391200065612793,0.6347000002861023,1.0,0.6407246096855375,1.0
gauntlet,augmented_adapter,43,0.05,480,10000,1.2573000192642212,20.0,13.609999656677246,11.913999557495117,0.649399995803833,1.0,0.650298442647,1.0
gauntlet,fixed_motor_argmax,44,0.05,480,10000,-0.36069998145103455,5.0,0.4276999831199646,0.776199996471405,0.5896999835968018,0.01836211488019608,0.5312109295083085,0.018697312825520833
gauntlet,base_adapter,44,0.05,480,10000,1.247499942779541,20.0,14.35509967803955,12.649099349975586,0.633899986743927,1.0,0.6414919153192199,1.0
gauntlet,augmented_adapter,44,0.05,480,10000,1.3492000102996826,22.0,13.689399719238281,11.90429973602295,0.6553999781608582,1.0,0.6485744082129756,1.0
gauntlet,fixed_motor_argmax,45,0.05,480,10000,-0.5623999834060669,5.0,0.482699990272522,0.973800003528595,0.5324999690055847,0.019409213491540293,0.5623924823671083,0.019722078450520833
gauntlet,base_adapter,45,0.05,480,10000,1.2538999319076538,19.0,14.44159984588623,12.699999809265137,0.6394999623298645,1.0,0.6382503383136041,1.0
gauntlet,augmented_adapter,45,0.05,480,10000,1.6502000093460083,23.0,13.560099601745605,11.467100143432617,0.6725999712944031,1.0,0.6471085901472639,1.0
gauntlet,fixed_motor_argmax,46,0.05,480,10000,-0.8298999667167664,4.0,0.6029999852180481,1.38319993019104,0.429099977016449,0.02268688369740556,0.5492370940595426,0.023155792643229166
gauntlet,base_adapter,46,0.05,480,10000,0.8824999928474426,23.0,15.382499694824219,14.010699272155762,0.6037999987602234,1.0,0.6361446707018054,1.0
gauntlet,augmented_adapter,46,0.05,480,10000,1.1413999795913696,19.0,12.45669937133789,10.894299507141113,0.6390999555587769,1.0,0.6488204202789982,1.0
gauntlet,fixed_motor_argmax,47,0.05,480,10000,-0.5062000155448914,4.0,0.5198999643325806,1.0125999450683594,0.543999969959259,0.016135885091579906,0.5168578560066216,0.016436622721354165
