world,group,neuron_count,hidden_neurons,max_edges,seed,generation,epoch_best_fitness,all_time_best_fitness,selection_best_fitness,mean_population_fitness,selection_mean_fitness,mean_active_synapses,active_edge_utilization,fitness_per_active_synapse,mean_hidden_edges,mean_hidden_edge_fraction,mean_direct_sensor_motor_fraction,sprout_count,prune_count,low_ltw_prune_count,ltw_mutation_count
simple,gentle_ltw_scheduled,32,20,256,42,55,18.0,20.0,18.0,-0.5722999572753906,-0.5722999572753906,64.81019592285156,0.2531648278236389,0.2777340778513731,48.73769760131836,0.7502796649932861,0.14766545593738556,9833,4673,2929,321471
simple,gentle_ltw_scheduled,32,20,256,42,56,17.0,20.0,17.0,0.020600000396370888,0.020600000396370888,65.14029693603516,0.25445428490638733,0.2609751689755611,49.018798828125,0.7508483529090881,0.14631251990795135,9551,5046,3115,323449
simple,gentle_ltw_scheduled,32,20,256,42,57,17.0,20.0,17.0,-0.9330999851226807,-0.9330999851226807,65.41839599609375,0.2555406093597412,0.25986574175580673,49.26919937133789,0.7514969706535339,0.1452200710773468,9504,5198,3257,324939
simple,gentle_ltw_scheduled,32,20,256,42,58,17.0,20.0,17.0,-0.9424999952316284,-0.9424999952316284,65.8042984008789,0.2570480406284332,0.2583417863744436,49.62199783325195,0.7525230050086975,0.14408017694950104,9634,5467,3483,326938
simple,gentle_ltw_scheduled,32,20,256,42,59,17.0,20.0,17.0,-0.289000004529953,-0.289000004529953,66.14659881591797,0.25838515162467957,0.2570048997879692,49.923397064208984,0.7532309293746948,0.1431225687265396,9490,5688,3521,328832
simple,gentle_ltw_scheduled,32,20,256,42,60,17.0,20.0,17.0,-0.8152999877929688,-0.8152999877929688,66.52149963378906,0.2598496079444885,0.2555564756294969,50.17399978637695,0.7528801560401917,0.1420760303735733,9671,6002,3763,330773
simple,gentle_ltw_scheduled,32,20,256,42,61,18.0,20.0,18.0,-0.5239999890327454,-0.5239999890327454,66.86439514160156,0.2611890435218811,0.26920156776832627,50.464500427246094,0.7534577250480652,0.14122457802295685,9642,6200,3782,332601
simple,gentle_ltw_scheduled,32,20,256,42,62,20.0,20.0,20.0,-0.9651999473571777,-0.9651999473571777,67.23939514160156,0.2626538872718811,0.2974446744781295,50.774898529052734,0.7539228200912476,0.14012636244297028,9473,6297,3947,334609
simple,gentle_ltw_scheduled,32,20,256,42,63,17.0,20.0,17.0,-0.6586999893188477,-0.6586999893188477,67.52519989013672,0.26377031207084656,0.2517578626595544,50.97599792480469,0.7537052631378174,0.1394941359758377,9455,6475,4082,336136
simple,gentle_ltw_scheduled,32,20,256,42,64,17.0,20.0,17.0,-1.128600001335144,-1.128600001335144,67.7449951171875,0.26462888717651367,0.2509410469451337,51.14449691772461,0.7537934184074402,0.1385921835899353,9441,6689,4170,337349
